SSID,HPHM,HPZL,JGSJ,CDBH
HK-92,落PTT721,2,2019/1/1 15:00:49,2
HK-92,落PD1759,2,2019/1/1 15:00:46,2
HK-92,落PC6798,2,2019/1/1 15:00:51,8
HK-93,落PJM519,2,2019/1/1 15:00:48,5
HK-107,落HS019X,2,2019/1/1 15:00:53,1
HK-107,落PXT106,2,2019/1/1 15:00:51,1
HK-107,落PYC333,2,2019/1/1 15:00:46,2
HK-92,落P5A825,2,2019/1/1 15:01:29,9
HK-93,落P5D969,2,2019/1/1 15:01:32,4
HK-93,殺BNA021,2,2019/1/1 15:01:32,10
HK-93,落PN8111,2,2019/1/1 15:01:30,10
HK-107,釦D2LY05,2,2019/1/1 15:01:59,3
HK-92,落BJL950,2,2019/1/1 15:02:07,7
HK-107,落P80543,2,2019/1/1 15:02:33,1
HK-107,落P10297,2,2019/1/1 15:02:31,1
HK-92,落PWF952,2,2019/1/1 15:02:36,1
HK-92,落PA822L,2,2019/1/1 15:01:07,2
HK-93,寃BE9Q20,2,2019/1/1 15:01:32,5
HK-107,落P80996,2,2019/1/1 15:02:20,1
HK-92,落PV0093,2,2019/1/1 15:00:55,7
HK-92,落P3E551,2,2019/1/1 15:00:51,7
HK-92,落P24167,2,2019/1/1 15:01:05,7
HK-93,落PT1623,2,2019/1/1 15:01:01,12
HK-107,落PS226X,2,2019/1/1 15:01:11,3
HK-93,落P80543,2,2019/1/1 15:01:48,3
HK-93,落P80810,2,2019/1/1 15:02:05,9
HK-92,落P7D980,2,2019/1/1 15:02:13,6
HK-92,落P94413,2,2019/1/1 15:02:08,6
HK-92,落P80369,2,2019/1/1 15:02:29,10
HK-92,落PJW306,2,2019/1/1 15:02:36,3
HK-107,GP60198,2,2019/1/1 15:02:44,1
HK-92,落PA2324,2,2019/1/1 15:00:48,7
HK-93,落PN1358,2,2019/1/1 15:00:53,5
HK-93,落P09837,2,2019/1/1 15:00:56,11
HK-93,落PFF725,2,2019/1/1 15:00:51,12
HK-107,落PC8296,2,2019/1/1 15:00:55,2
